================================================================================
CUSTOMER RETURN CLUSTERING - FINAL ANALYSIS REPORT
================================================================================
Generated on: 2025-06-25 11:35:40
Clustering Method: DBSCAN -> K-means -> Sub-DBSCAN

EXECUTIVE SUMMARY:
----------------------------------------
Total customers analyzed: 14,999
Customers successfully clustered: 2,019 (13.5%)
Noise/outlier customers: 12,980 (86.5%)
Final number of clusters: 280

CLUSTERING QUALITY METRICS:
----------------------------------------

CLUSTER PROFILES:
----------------------------------------
Cluster 0.0: New Customers
  Size: 829.0 customers (41.1%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 2.0: New Customers
  Size: 13.0 customers (0.6%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 63.0: New Customers
  Size: 13.0 customers (0.6%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 21.0: New Customers
  Size: 11.0 customers (0.5%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 15.0: New Customers
  Size: 11.0 customers (0.5%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 1.0: New Customers
  Size: 10.0 customers (0.5%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 11.0: New Customers
  Size: 10.0 customers (0.5%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 93.0: New Customers
  Size: 8.0 customers (0.4%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 53.0: New Customers
  Size: 7.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 98.0: New Customers
  Size: 7.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 150.0: New Customers
  Size: 7.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 71.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 65.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 133.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 134.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 28.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 112.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 111.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 165.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 87.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 92.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 8.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 4.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 208.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 60.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 5.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 9.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 88.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 79.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 174.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 20.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 18.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 43.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 142.0: New Customers
  Size: 6.0 customers (0.3%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 95.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 86.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 80.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 78.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 107.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 97.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 76.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 135.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 81.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 94.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 84.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 51.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 67.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 57.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 46.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 45.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 59.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 206.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 47.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 56.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 54.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 220.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 223.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 169.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 161.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 236.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 258.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 196.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 175.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 195.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 180.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 145.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 14.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 151.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 25.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 26.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 12.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 31.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 40.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 177.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 178.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 148.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 149.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 154.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 155.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 197.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
  Avg Order Count: 0.0
  Avg Lifetime (days): 0

Cluster 202.0: New Customers
  Size: 5.0 customers (0.2%)
  Avg Return Rate: 0.000
